,影片名,评论内容,评论人,推荐星数,有用数
0,暴裂无声,"这篇影评可能有剧透

                        首先，说说张磊的死亡经过： 昌万年和律师在山上进行私密交易，交易完成后昌万年想找点乐子，他看到了羊群 于是问小孩张磊，你这羊儿多少钱一只。张磊拒绝了，但昌万年无所谓直接拉弓开射。这时意外发生了，张磊为了保护羊被误伤，最后昌万年威胁律师弄死了张磊，并将尸体藏在...

                        ?(展开)",酱油电影,力荐,5786
1,暴裂无声,"摘自电影《暴裂无声》创作手记 2016年7月16日，我带着剧组勘景队伍第一次走进内蒙古包头市以西的乌拉山国家森林公园。身为一个包头人，我很惭愧自己对家乡的了解并不多，为了电影勘景，我才有机会走遍这个城市的大街小巷和附近的山山水水。 当下的困境是，奔波十几天了，我们还...

                        ?(展开)",忻钰坤,力荐,3722
2,暴裂无声,"这篇影评可能有剧透

                        2015年，忻钰坤的处女作《心迷宫》好评如潮，豆瓣8.6分，在豆瓣TOP250中排第167。不鸣则已，一鸣惊人。 时隔三年，忻钰坤的新作《暴裂无声》又给我们带来不少惊喜，提前锁定华语片年度十佳。 事实上，早在《心迷宫》之前，忻钰坤就已经创作出了《暴裂无声》的剧本雏形。《暴裂...

                        ?(展开)",凌睿,推荐,2194
3,暴裂无声,"这篇影评可能有剧透

                        本文首发于壹条电影（ytmovie666），未经授权请勿复制粘贴，谢谢。 在律师语气平静地说出“没有”，母亲怀抱羊羔发出恸哭，哑巴面前的山丘轰然倒塌之后，导演的名字出现在银幕上，我们明白这里就是故事的终结。没有真凶大白的激愤，没有尸骨重现的冲击，哑父拿着一摞再也无用的...

                        ?(展开)",Laa-laa,推荐,1283
4,暴裂无声,"豆瓣2017年度电影榜单中，《暴裂无声》妥妥地出现在“最期待华语独立佳作”里面。豆瓣评分目前为7.7，比路演前高了0.3分。关注忻钰坤导演、亦或是喜欢《心迷宫》的朋友应该对这部电影期待已久，导演说，他希望观众能忘记《心迷宫》，因为《暴裂无声》是一部全新的作品。 在豆瓣...

                        ?(展开)",巴塞电影,推荐,782
5,暴裂无声,"关于《暴裂无声》的这些疑问，导演都回答了（部分剧透慎入） 对于一部优秀的悬疑片来说，每一帧可能都蕴含着导演深刻的用意。这样的电影，有的观众只能看到半个小时，有的能看到1个小时，厉害的能看到整部电影，更厉害的能看到两部甚至三部电影的容量。如果一部电影的生命只存...

                        ?(展开)",由月的号,推荐,585
6,暴裂无声,"今年FIRST青年电影展的首尾很奇妙——开幕片叫《猎凶风河谷》，来自著名编剧的泰勒·谢里丹的导演处女作，讲述的是在美国西北部怀俄明州发生的一起少女奸杀案；闭幕片《暴裂无声》（之前的片名叫《山野追踪》）是导演忻钰坤执导的第二部作品，剧情说的在内蒙的一个矿产丰富的地...

                        ?(展开)",隐,推荐,451
7,暴裂无声,"这篇影评可能有剧透

                        本文首发于电影幕后故事微信公众号（微信号“saymovie”），欢迎关注，看幕后君第一时间为你评新片，品经典。 顶着昨晚北京的鹅毛大雪，我风雨无阻的来到了电影院。 作为一部犯罪悬疑片，《暴裂无声》无疑达到了它的目的。 影片结束后我推敲了好一阵，才拼凑出故事的全貌，令人...

                        ?(展开)",电影幕后故事,力荐,1282
8,暴裂无声,"这篇影评可能有剧透

                        一． 你经历过失语吗？ 一种在很想说些话，很想表达的时候因为种种原因突然说不出话，感到沮丧和痛苦的情况。 仿佛是突然被堵住了嘴，即将喷薄而出的话语没有了发泄的口径，只好在内部积攒。 而失声则是这种情况的极端。 张保民就属于失声群体。他是个哑巴。 哑巴和哑巴也是不...

                        ?(展开)",木子荨,还行,326
9,暴裂无声,"这篇影评可能有剧透

                        优点有以下几个： 1.血腥暴力镜头的数量和冲击力 2.结局揭晓前如果卡住会更好 下面说问题： 演员 上一次《心迷宫》大面积用非专业演员（未考证），演技稚嫩，表情比较生硬是一个硬伤，好在整个电影节奏很棒所以瑕不掩瑜。 知道导演这部启用职业演员让人抱有很大期待，然而我看...

                        ?(展开)",管庄欧阳震华,推荐,352
10,暴裂无声,"这篇影评可能有剧透

                        看了导演见面会场 分享一下 导演也是根据观众提的问题 给了很详细的解答 1.全片都不断出现的三角形、金字塔 象征着一种阶级的分差 从磊子一开始搭的石头金字塔和昌万年桌上华贵的金字塔 到张保民村子里最高待遇的羊肉宴与昌万年精致环境下的切片羊肉卷 再到昌万年 徐文杰 张保...

                        ?(展开)",夏天吃西瓜,推荐,173
11,暴裂无声,"不知道有多少观众是冲着导演忻钰坤去的，其实俺也是，这点不能免俗，毕竟忻钰坤之前的《心迷宫》拍得太好了，自然会对这部《暴裂无声》产生期待。 当然了，这里个人还是夹带点私货，除了冲着导演而来，个人也很期待宋洋，因为这位之前在《师父》和《箭士柳白猿》里角色个人很喜...

                        ?(展开)",乌鸦火堂,推荐,148
12,暴裂无声,"面对《暴裂无声》，其观众分为两派。一派认为：渐入佳境，前半部分都是不经意然而显然是刻意的伏笔，后半部分是冲突激烈爆发。很多镜头看似闲笔，实则细思极恐。而另一派，则觉得导演忻钰坤失去了他处女作《心迷宫》多视角叙事的优点和灵气，将一个普通的故事讲得故弄玄虚。 20...

                        ?(展开)",惘然,力荐,97
13,暴裂无声,"这篇影评可能有剧透

                        “我小时候住在包头市，高中有次军训在上附近山里，早上正踢正步忽然听到一声巨响，然后定睛一看，前面山的一半没有了。很震撼，以为地震了，原来是他们把山炸碎，运走里面的重金属。” 这是导演忻钰坤最早关于“山崩”的体验。多年后，他写了一个关于包头矿工张保民寻子的故事...

                        ?(展开)",真故君,还行,126
14,暴裂无声,"我承认，基于导演前作所带来的惊艳与震撼，我对这部【暴裂无声】抱有极高的期待，在都市爱情和奇幻改编类占据大部分市场的当下，农村和小城市题材反而成了新导演们试图在赢得口碑方面取之不尽的宝藏。 这本身是一件好事，正如第五代导演里张艺谋，陈凯歌最初也把视线对准那个时...

                        ?(展开)",盲忙,推荐,144
15,暴裂无声,"西宁，7月27日，First闭幕影片《暴裂无声》。 2015年在我心里国产片最佳是花了170万成本拍的《心迷宫》（2016是程耳的《罗曼蒂克消亡史》），这部《暴裂无声》虽然是“全球首映”，但电影最后的一个镜头特效还没全部完成，但影片从一开始就能感觉到的那种张力，随着故事层层展...

                        ?(展开)",横戈,力荐,74
16,暴裂无声,"这篇影评可能有剧透

                        其实我一直都不太待见国产电影，尤其是近几年的国产电影更是分成了两派，一种是追大片，各种特效爆破，恨不得漫天都撒人民币，还有一种就是都市鲜肉剧，靠几张好看的脸，刷一下话题，轻松收钱，或者是找几个喜剧明星弄点什么过期笑话，而夹在这俩中间的还有一派我最不待见，就...

                        ?(展开)",小川叔,推荐,87
17,暴裂无声,"这篇影评可能有剧透

                        2018年3月24日，杭州UME国际影城，点映+主创见面会： “——导演您好，请问这部电影是在讲吃人吗？”朋友问忻钰昆导演。 “——电影可以说在讲“吃”人，不过是打引号的。这位观众注意到了很多细节……总的方向是对的……”导演略迟疑后答道。 只因这一问一答，时隔半年，我突...

                        ?(展开)",孤岛影者,还行,87
18,暴裂无声,"这是一部有气质的电影！它充满着现实中残酷和黑色的一面，社会人物与利益关系，被导演包装成带着隐喻的符号化场景，编织成弱肉强食的社会预言。影片风格凌冽，垒石、隧道、羊头、啃骨，处处是提示。演员整体演技都在线，宋洋和姜武分寸拿捏的很好！袁文康真的是“无声中演技暴...

                        ?(展开)",三六十八,推荐,56
19,暴裂无声,"这篇影评可能有剧透

                        2015年，一部独立低成本国产电影《心迷宫》横空问世，影片多视角的非线性叙事结构以及黑色幽默的风格广受好评，也让忻钰坤这位青年导演的名字第一次走入大众视野。观众惊讶于忻钰坤导演创造故事和讲述故事的能力，所以，当他筹备近两年的第二部剧情长片《暴裂无声》在院线上映...

                        ?(展开)",尘埃落下,推荐,92
20,暴裂无声,"看过豆瓣电影最高分忻钰坤导演的《心迷宫》自然要去支持一下新作。《爆裂无声》该片围绕一个孩子的失踪展开，讲述矿工父亲追寻孩子踪迹的过程中，通过不同身份的人物塑造，延展出中国真实的面貌、冷暖色差的故事。 故事线复杂却不杂乱，紧张，悬疑，烧脑。影片中失语父亲频频看...

                        ?(展开)",志评,力荐,39
21,暴裂无声,"这篇影评可能有剧透

                        影片《暴裂无声》布局精密，结构合理，立意新颖，演员演技到位，每个人物形象丰满，特别是宋洋饰演的社会底层小人物自然接地气。他饰演的张保民是个粗人，又因为舌头因一次意外被咬断，不能讲话，在儿子失踪之后，他始终处于愤怒和受伤的状态下，然而作为家庭的脊梁他又永远不...

                        ?(展开)",特仑苏,推荐,40
22,暴裂无声,"这个评论这样点评这个电影:上层失态，中层失德，底层失语，人间失格  精准的描述 这种沉重的电影 只适合一个人的时候看 自己看透这个世界的世态炎凉，认清自己的位置 考验自己的人性 然后告诫自己做一个善良的人  这种电影不能看多了，看了会压抑，会难受，会失眠，好在最后的...

                        ?(展开)",岁月神偷,力荐,36
23,暴裂无声,"在2004年的凛冬里，一个北方矿业小镇上，牧羊少年带着自家的羊群在山里行走，路过浅浅的河沟驻足远望。两天后，矿工张保民得知儿子失踪的消息急切赶回家中，三天后，律师徐文杰的女儿也跟着失踪。他拿起电话打给他能想到的唯一嫌疑人，黑白两道通吃的煤老板昌万年。于是，两起...

                        ?(展开)",JAY一路向北,力荐,55
24,暴裂无声,"1，忻钰坤无论作为编剧还是导演，功力都退步好多。我还是更喜欢《心迷宫》，虽然粗粝但是圆熟，能看得出对于剧本的精致打磨。《暴裂无声》的剧本则给我一种得过且过的感觉，而且显得刻意。我觉得对于创作者来说最害怕的不是江郎才尽没有故事可讲，而是讲故事讲到麻木，因为麻木...

                        ?(展开)",南風不競,较差,25
25,暴裂无声,"《暴裂无声》中忻钰坤展现了他更为成熟的电影风格，透过贫富差距悬殊的三人所串联起来的两起案件，对逻辑叙事出色的驾驭下，电影既将矛头大胆的直指于了阴暗的社会现实，也用超现实的手法映射人性，无声的失语成为了电影最为震撼的呐喊。 “杀人放火金腰带，修桥补路无尸骸。”...

                        ?(展开)",长安,推荐,45
26,暴裂无声,"本片以哑巴矿工张保民寻子为主线，但他阴差阳错却卷入了一场权钱交易的阴谋漩涡；除去思维的考量和言语的表达，暴力成为了他诠释个人意志的最好手段，拳头成为他与外部世界抗争的唯一利器。身处重重漩涡中，原始的兽性变得简单、暴力和直接；在一次又一次寻子失败的愤恨中，被...

                        ?(展开)",十里故清欢,推荐,36
27,暴裂无声,"最喜欢进山洞的那，画面精致，回头是一片黑暗，没有声音，黑色吞没一切。 “炸裂”，不是燃到炸，而是冷静中又蕴含巨大的张力，如拉紧的弦，下垂千斤的坠，终于在无声的与力量的较量中，“砰”一声爆裂开来。 又或如火山，在幽暗的地底下蛰伏千年万年，一朝积蓄了庞大的力量就...

                        ?(展开)",贱贱,力荐,42
28,暴裂无声,"《暴裂无声》中忻钰坤展现了他成熟的电影风格，透过贫富差距悬殊的三人所串联起来的两起案件，对逻辑叙事出色的驾驭下，电影既将矛头大胆的直指于了阴暗的社会现实，也用超现实的手法映射人性，无声的失语成为了电影最为震人心魂的呐喊。 电影结尾的时候，看的简直头皮发麻。无...

                        ?(展开)",槑槑,力荐,51
29,暴裂无声,"看之前以为会和宁浩的无人区类似。却比无人区更压抑，真实。前一个小时埋下的伏笔，在电影的最后慢慢解开，小男孩到底去哪了电影没有明显的解答，到最后的一分钟观众心里才有了答案。一部不一样的悬疑片，犯罪片，有特点的中国西部片。 昌万年是食肉者，徐文杰是喝汤的，而张保...

                        ?(展开)",来日方长,推荐,42
30,暴裂无声,"电影《爆裂无声》讲述了一个相对闭塞的北方矿业小镇接连发生了两起儿童失踪案，失语矿工张保民在寻找儿子途中意外解救了律师徐文杰的女儿，知晓张保民儿子失踪案真相的徐文杰却选择沉默，而两个孩子的失踪都与黑心煤老板昌万年有着千丝万缕的关系这样的一个故事 。本来毫无关系...

                        ?(展开)",鸟语花香,力荐,39
31,暴裂无声,"这篇影评可能有剧透

                        本文首发于她影（Wechat ID: herinfilm） —————————————————— 《暴烈无声》，是一部让人无法轻松的电影，充斥着罪恶、武力、鲜血，以暴制暴。 暴烈，意为狂暴刚烈。宋朝何薳在《春渚纪闻》中写道：“火延于屋，风势暴烈，不可救扑。”我觉得很妙。暴烈便是风...

                        ?(展开)",阿猫,推荐,86
