,影片名,评论内容,评论人,推荐星数,有用数
0,完美陌生人,"看之前，就看到网上有人将它定义为“即将走入婚姻的人不要看，情侣不要看”的电影。这不是一部恐怖片，但我曾多次害怕得按下暂停键，不知道下一秒剧情会崩坏到什么程度，不知道电影中的他们该如何收场，心里紧张极了。还有一部分原因是，电影里的事情很可能就发生在自己身边，...

                        ?(展开)",裤布外克,推荐,3178
1,完美陌生人,"这篇影评可能有剧透

                        和朋友欢聚一堂玩真心话大冒险游戏的时候，你最怕什么？  我个人一直觉得大冒险没什么难的，不管是当众扭秧歌还是去找邻桌陌生人要电话，都只是让人害羞和尴尬而已，脸皮厚一点也没什么大不了的。我更喜欢玩真心话，因为可以在对在座这些朋友现有认识的基础上，再去窥探他们更...

                        ?(展开)",慢慢说-不着急,推荐,2448
2,完美陌生人,"这篇影评可能有剧透

                        很多影评都谈到一点，“人与人之间的关系是脆弱的。”不过，我觉得，这部电影更想说的是，知道了这种脆弱属性后，我们该怎么办，我们能怎么办。  （1）剧情：被挡在玻璃窗外的婚姻暴风雨  《完美陌生人》的全部故事，发生在一场友人聚会上。聚会地点是其中一对夫妻的家里，男主...

                        ?(展开)",猫腻鱼,力荐,1450
3,完美陌生人,"（文/杨时旸）     这是意大利版的《手机》，一个在密闭空间里的绝望故事，一次万劫不复的人性试探。一张餐桌，七位好友，其中三对夫妻，还有一位单独赴约的男人，大家吃饭聊天，有说有笑，直到有人提出既然大家都无法放下手机，那就一起玩个游戏——把手机都放在桌子上，从现...

                        ?(展开)",frozenmoon,力荐,1231
4,完美陌生人,"我始终认为微信或者QQ之类的聊天带有虚伪的意味，在无法获知表情与背景的情形下，我们只通过文字得到信息，揣测对方的意图，来来回回，真不如打个电话来的爽快，你迟疑或者拔高的语调，都让人开始下一步的心理准备，可以说是种安全感的需要吧，因此在此类聊天软件上我大多冷漠...

                        ?(展开)",蔡阿七,力荐,369
5,完美陌生人,"《完美陌生人》是一部令人惊喜的“爱情恐怖片”，它的剧本兼具创意和社会广度，诙谐的剖析成人世界的社交危机，在一个狭小的空间内将七个性格各异的人物表现得生动立体，戏中的人物个个有戏，个个有料，人与人之间关系的脆弱与复杂以诙谐幽默的形式被抽丝剥茧，最终成人世...

                        ?(展开)",安德烈大叔,推荐,182
6,完美陌生人,"人与人间关系的脆弱，在《完美陌生人》中成为了构筑惊艳之笔的脉络，电影透过一场朋友间的聚会展开，层层缔进的剧情构思，手机成为了一把高悬的达摩克利斯之剑，而透过暗藏于手机中种种真相的展露，其实则所着点的是人性深处的阴暗与复杂，永远不要试着去考验人性，人性也永远...

                        ?(展开)",长安,力荐,75
7,完美陌生人,"一个房子，一群人在里面对话，拉家常。但是，过程中的不可思议和惊心动魄都会让人屏住呼吸。 这部电影是讲三对夫妻和一个男人，都是好友，趁观赏月食在一起聚餐。有人提议玩一个游戏：把手机都拿出来，放在桌子上。无论来了任何短信、电话、邮件等都要和别人分享。于是，好多秘...

                        ?(展开)",浮生愿景,力荐,42
8,完美陌生人,"1 《完美陌生人》里，有一个这样的情节。 17岁的索菲娅赴男友的约会。 这次约会非比一般，因为可能会发生性关系。 而她还是处女。 她向父亲告知了此事。 我想，对于任何父母来说，听闻这样的事情，如何面对和处理，都是一个考验。 粗暴阻止的话，很简单：不行，不可以去！ 结果...

                        ?(展开)",周冲,推荐,201
9,完美陌生人,"超级好看，情节环环相扣，整个过程下来很刺激，而且演员演技很在线，也能引发一些关于人性的思考。这部电影虽然玩真心话大冒险的时候，看到了人性的恶。但是在最后的平行空间中，大家一起的自拍合影真的让人会心一笑。所以说生活的谎言和美丽，只隔了一层膜。所以我们要好好经...

                        ?(展开)",芳香,力荐,36
