,影片名,评论内容,评论人,推荐星数,有用数
0,三块广告牌,"这篇影评可能有剧透

                        今年的奥斯卡颁奖礼，《三块广告牌》败给《水形物语》无缘最佳影片，就连原本夺奖热门的原创剧本奖项，也输给了黑马《逃出绝命镇》。惋惜之余，我又想到：当下全世界范围内，普罗大众和社会提倡的主流价值观已经渐行渐远，有多少人还在乎学院评审们的口味呢。在这个“政治正确...

                        ?(展开)",鼠斩车田万齐,力荐,4687
1,三块广告牌,"这是一部很温情的电影，然而剥开这层外衣，它其实很丧。 但愿这只是我的误读。 因女儿被强奸焚烧致死后仍未寻得真凶，受害者母亲立起了三块广告牌，隔空喊话质问警局局长，事情由此走向了不可收拾的地步。 不剧透得评价，这是一个好看的电影，戏剧张力十足，一环紧扣一环推动着...

                        ?(展开)",mOco,推荐,2906
2,三块广告牌,"这篇影评可能有剧透

                        恕我直言你们根本没看懂。 说这部电影讲的是爱和宽恕。很好笑。 这是那种最高级的剧本。它像上帝之眼，呈现人性的复杂和混沌，不给你直接的因果，不做道德的批判，是希望你在其中照见自己的影子。 但很多人照不见自己的影子。还是保持了一贯的道德批判立场。 电影全片没有一个...

                        ?(展开)",朱欢尘,力荐,3053
3,三块广告牌,"“Violence is strangely capable of returning my characters to reality and preparing them to accept their moment of grace.” -- Flannery O'Connor 引子 电影一开始，麦克多蒙德饰演的Mildred Hayes走进镇警察局对面的广告牌租赁办事处，里面的小伙子正在悠闲地读一本书...

                        ?(展开)",北回归线,力荐,820
4,三块广告牌,"这篇影评可能有剧透

                        还有一周就要举行奥斯卡颁奖了。 以前写颁奖季影片比较少，对我来说是一种懒惰。因为时间差的关系，往往在我能看到提名影片之前，便已有大量的相关批评已经发表。再加上近几年奥斯卡的口味越来越趋于同质化，提名影片带来的惊喜越来越少，写作动力严重不足。 并非说这些提名作...

                        ?(展开)",王写写,推荐,743
5,三块广告牌,"（文/杨时旸） 当海耶斯把车停在那条几乎荒无人烟的小路上，盯着广告牌流露出若有所思的神情，这个故事的气质就已经悄然奠定了——蝴蝶效应发端于人心中的一丝闪念。只是人们不会知道，一切分裂、崩塌、重组，兜兜转转之后，最终会抵达怎样一种结局。 金球奖最佳剧情片，最佳女...

                        ?(展开)",frozenmoon,推荐,445
6,三块广告牌,"当威尼斯电影节放映前贴片播完，矗立在荒凉的公路边上的三块广告牌映入眼帘，一曲《夏日最后的玫瑰》响起时，我们知道，那个从小接受凯尔特文化熏陶的马丁-麦克唐纳回来了。 故事发生在美国的一座小镇上。弗兰西斯-麦克多蒙德饰演的女主角是一位失去女儿的母亲，然而女儿遇害的...

                        ?(展开)",南悠一,力荐,369
7,三块广告牌,"【因个人能力精力有限，不足之处还请豆友们指正】 【感谢@弗劳文儿_ 的字幕翻译】 【先简单总结两句】 ①	影片主要以三个角色的视点展开——米尔德里德、威洛比、迪克逊。在中间点后，即威洛比自杀的情节后，原本虽有波澜、但基本稳定的三角关系（不仅是角色本身，也是三股势力...

                        ?(展开)",猫奴十二年,推荐,246
8,三块广告牌,"电影《三块广告牌》的文本是精心算计的高级货（MADE IN U.S.A），但如果说一个电影文本是美式“高级货”，那高级货的通用标准是什么呢？ 首先说说“高级”，文本的高级首先意味着在文学性和结构性上具有匠心独运的设计，这让他免于成为超级英雄电影这种大路货。那么这种高级货...

                        ?(展开)",安德烈大叔,推荐,192
9,三块广告牌,"这篇影评可能有剧透

                        就是你看着他俩觉得他俩的确就是他俩演的那个角色，就像个活人，只是经历让他们和一般人又不太一样，首先说明演技就是非常自然传神的了。 其次，他俩的角色是极端化的正常人，就是正常走路上你不会多看他俩一眼，但他俩一开口一做事你就忍不住盯着他俩看。这种复杂的微妙性他俩...

                        ?(展开)",洛灰,力荐,227
