,影片名,评论内容,评论人,推荐星数,有用数
0,战狼2,"什么时候开始，中国电影经不起一点批评？  文 | 执麦者 2017年7月31日  中国电影市场，是好，还是不好？  截至到2017年8月6日实时票房，《战狼2》累计票房31.09亿，超越《美人鱼》在2016年创下的33.9亿的中国内地总票房记录，咫尺之遥。  说来奇怪，在内地总票房排行榜上，排名...

                        ?(展开)",执麦者,还行,14010
1,战狼2,"电影的原型是2015年的也门撤侨事件 2015年也门危机，中国海军直接派出2艘054A护卫舰，开进也门亚丁港 由于当时港口外枪炮轰鸣，中国海军入港全部自主完成 中国驻当地使馆和全副武装的武警特勤在岸边保护中国侨民 而054A护卫舰直接靠港，舰上的海军特种兵和水兵持枪下舰，拉出了...

                        ?(展开)",听风的歌,力荐,27520
2,战狼2,"这篇影评可能有剧透

                        史蒂夫罗杰斯因为初恋爱人佩姬卡特被九头蛇暗杀，现场发现一颗特殊子弹是由非洲国家瓦坎达的神秘金属制成，史蒂夫决定前往非洲寻找凶手。 途中遇到海盗袭击，史蒂夫靠惊人的体能和力量在水中干掉一个小分队并成功摧毁了海盗组织。 终于到达瓦坎达，这个国家正在发生政变，高科...

                        ?(展开)",冰箱,力荐,6463
3,战狼2,"这篇影评可能有剧透

                        在最前面想先说两句，最近主旋律电影比较多，建军和战狼同天上映。其实我本人对这种主旋律电影并没有什么反感，国情所在嘛，又不是说其他国家没有这样的主旋律电影。 爱国一词现在已经变得不那么纯粹了，有些人看到主旋律，爱国等字眼就反感，其实正是现实里自卑的表现。 还有...

                        ?(展开)",蜡韶,还行,4082
4,战狼2,"第一篇长评下面有很多人表达了疑惑、谩骂、支持。 https://movie.douban.com/review/8701257/（跳转） 以下，是我的回应。 不可否认的是，吴京通过战狼向观众传递的积极的价值观，以及它为激发每一位观众的民族自豪感而做出的努力。 但是如果一部电影，只要一个正确价值导向就...

                        ?(展开)",我是尾号2473,较差,2944
5,战狼2,"首先声明，本人承认剧中有些地方有逻辑问题。 以下我讲解的只是以我的知识面能够分析的部分。 有些人看了之后，从别的剧情挑刺，我说了我只解释我知道的部分，别的部分我没说完美无缺，所以不要质问我，你自己觉得有道理就行。 —————————————— 最被大多数人诟病...

                        ?(展开)",0阳明子0,力荐,3087
6,战狼2,"这篇影评可能有剧透

                        首先，在观影之前我对战狼2没有任何偏见，并且是有所期待的。 期待全都来自微博上铺天盖地的好评和朋友圈里晒电影票的自来水们的强烈推荐。 甚至战狼1我也是购票去影院支持的，1看完后直至今日，我不看简介回忆不起任何剧情，只记得是一部主旋律电影，但因为没有让人牢牢记住的...

                        ?(展开)",小小果实,很差,2682
7,战狼2,"本文原创首发于不散微信公众号（ID:busan-movie），未经不散和作者授权禁止转载 作者 |谢谢你们的鱼 2015年，一部《战狼》在4月淡季席卷了超过5亿的票房成绩。就是这么一部辗转了好几个发行方、被很多明星拒演、大量投资人望而却步，而且大部分业内人士不怎么看好的动作类型片...

                        ?(展开)",不散,推荐,1787
8,战狼2,"微信公众号：movie432    首发于 MOViE木卫 我不是《战狼》系列的目标受众，但对于吴京，也没有任何称得上恶意的东西。实际上，我甚至在过去这么写道： 以往，军事题材战争片属于八一电影制片厂的专有产品，高唱中国主旋律。《战狼》意外闯入到这个类型领域并获得成功，出乎所...

                        ?(展开)",木卫二,较差,432
9,战狼2,"关于评论区那些问题的回应：https://movie.douban.com/review/8717953/ 战狼2是一部非常优秀的主旋律电影，不仅表现了中非之间的友好关系，讽刺了西方国家的冷血无情以及大美利坚政府的无能，弘扬了中国人民共和国国威，体现了祖国对于海外华侨无时无刻的关怀，赞美了中国人民...

                        ?(展开)",我是尾号2473,较差,1257
