,影片名,评论内容,评论人,推荐星数,有用数
0,一天,"这篇影评可能有剧透

                        你们所谓的灵魂知己，我更愿意称之为聊天情人。在一个女人长久而温情的单身岁月里，他英俊，性感，幽默，勾起她的小崇拜却又不给予她大的承诺。有亲切感，不畏惧也不尴尬赤裸相对，互相在心里有一片位置却不参与各自的生活。他们倾诉生活里的困苦，抚慰各自的伤痛。       那一...

                        ?(展开)",艾明雅,推荐,5293
1,一天,"★★★☆  在很多车子的后箱里面，翻开一层覆盖物，里面有个圆圈，刚好可以放下一个车胎；也有的车子，这个车胎可能是悬挂在车屁股后面，跟着车子到处跑。这个常见而不常用的车胎，我们称之为备用胎。备用胎的命运如其名，只是备用。如果车子不是意外刚好有个车胎出问题，备用...

                        ?(展开)",[已注销],推荐,2855
2,一天,"http://nevertown.blog.com/2011/09/22/25/ 可转载，请保留署名，多谢～ ------------------------  安妮?海瑟薇蹩脚的英国口音和前半段的乡下妹子扮相让人难以集中精力，沉闷的文艺范儿下星星点点的笑料冒个泡就消失得无声无息，男主角无病呻吟式的堕落与叛逆生硬无趣，苦...

                        ?(展开)",小油飞,力荐,3332
3,一天,"这篇影评可能有剧透

                        很久没有被这样小清新类型的文艺爱情片打动过了，昨晚看完以后去洗了个脸，擦干了眼泪却还是觉得思维持续陷在情节里。  对于一个业余影迷来说，没法用专业性理性角度来看片，加上没有看过原著，所以很纯粹的觉得一部影片能真正感动到我那就是成功的。不管被豆瓣的影评说这只不...

                        ?(展开)",Lee winchester,力荐,2440
4,一天,"看了预告片，被这句话秒杀。  这么多年，这么多人经过我的生活，可是为什么偏偏是你，看起来好像最应该是过客的你，在我心中占据了这么重的地位。  现在，就是此时此刻，我需要你，我需要感觉到你，我需要被你爱被你关怀。  我想要的，不只是一夜，或是一天。

                        ?(展开)",pixieluu  +,力荐,859
5,一天,"这篇影评可能有剧透

                        一天 在我看过的电影里绝对不算是上乘的 也不算经典  但是不知道为什么 这电影却让我看了又看 看了个四五遍 每次看了之后都觉得没什么劲了 可是过了一阵子 朋友来家里看电影 还是会像个猪头一样 拿出一天的蓝光说 要么我们看这个吧 昨天在市场买青菜做沙拉 脑子里 忽然跑过 “...

                        ?(展开)",安东尼,力荐,665
6,一天,"有多少爱情经得起推敲？  看了《One Day》，最近很火的一部爱情片。 其实按理说，这样两个人暧昧20年然后终成正果的基调，是应该蛮合我的口味的。 但是看到Dexter给Emma递结婚请帖的时候，Emma那段强颜欢笑地祝福，以及Dexter也有所回应的时候。 我实在是不能忍了：“尼玛的，...

                        ?(展开)",南云,推荐,438
7,一天,"这篇影评可能有剧透

                        这不是一个炮友转正的喜剧，也不是一个中年丧妻的悲剧。对我来说，这是错过，包容，理解，改变，这是关于知己的故事。  10年前有人跟我说，你年轻聪明好看，有什么好烦恼的。英俊的男主角正是如此。毕业那一天，他玩世不恭的笑着，忽然发现身边女孩子有几分新鲜，标准一夜情的...

                        ?(展开)",Ian △,推荐,389
8,一天,"谁说女人需要一个男人一直爱她，错。 女人需要一个男人，自己可以一直爱他。用这个人来保持感情的平衡，她可以对身边来来去去的男人们全都失望，却不会失去与爱情的关联和信念。她可以在其他感情里自由出入，可以不慌不忙地单身并保持心的充盈。这个男人可以中和心里所有酸碱平...

                        ?(展开)",—ECHO—,推荐,294
9,一天,"《蘑菇蘑菇，不会开花，先生先生你还爱她吗》     长颈鹿的脖子那么长 哽咽的时候是不是很难受 　　 章鱼有三颗心脏 心痛的时候是不是很疼 　　 乌鸦可以学人说话 尴尬的时候会不会假装咳嗽 　　 骆驼有长长的睫毛 想哭的时候能不能说是眼睛进了沙 　　 蛇没有宽宽的肩膀 他累...

                        ?(展开)",哎哟乐乐,力荐,311
