,影片名,评论内容,评论人,推荐星数,有用数
0,茉莉花开,"在中国真正站在女性主义立场上的影片并不多，特别是反映近代中国的影片里大多数城市女性被描摹成交际花和妖媚的野鸡，《茉莉花开》的意义在于它第一次在79年代后为中国上海近代女子的真正形象树碑立传，这样的用心值得我们赞许。     －－－－卡夫卡·陆（KavkaLu）  [img]htt...

                        ?(展开)",kavkalu,推荐,173
1,茉莉花开,"【配乐】 本片音乐监制是名作曲家苏聪，但本片电影配乐味道麻麻，带不出旧上海风尘味道和时代feel，没有烘云托月营造气氛，除了用曾经在《新不了情》出现过的曲子“In The Mood”（就是刘青云和秦沛互飙萨克斯管的那首轻快曲子）外，出现的歌曲还有《小城故事》、《茉莉花》等...

                        ?(展开)",冇有,较差,104
2,茉莉花开,"这篇影评可能有剧透

                        上导演课上，老师给我们看了这部电影，开始看到名字，我会以为是一部挺浪漫，唯美的片子，实际上却虐得人难受?，茉生下了莉，莉收养了花，4个母亲，不同时代，同样的悲剧，全篇分为3个部分，三个人的命运也是紧紧相连，全篇看下去，好想莉是最幸运的，有爱他的高杰，花是最...

                        ?(展开)",夏与风,推荐,43
3,茉莉花开,"昨晚和一个朋友去看了这片。    片子看到第三部，刘烨演的那个男的要离开的时候，我都还觉得没有看懂片子到底有什么意思。难道导演编剧想告诉人们的是，女性为了追求爱情是一种悲剧这样一个主题？等看到花在雨夜挺着个大肚子在街上奔跑的时候，我在想，这下子，祖孙三代的悲...

                        ?(展开)",山河大地,还行,64
4,茉莉花开,"这篇影评可能有剧透

                        最近翻了几部以前的老片，无意中看到章子怡和陆毅主演的《茉莉花开》让我对章子怡的演技有了重新的认识。 《茉莉花开》是章子怡2004年的作品其中表现的人性更加扭曲，女主角章子怡精神上的光彩也比较少一点，是一些比较难以理解的角色。 最开始，确实觉得女主角身上屌丝味道浓...

                        ?(展开)",爱吃馒头的宝宝,推荐,25
5,茉莉花开,"我一直都不怎么喜欢章子怡。理由有二，一是我曾有幸跟章MM同桌共餐过，其时章MM瘦小干瘪骨瘦如柴，还一脸的青春痘，实在算不得什么美女，虽然后来她出落得越来越鲜艳，但那个印象一直都留在脑海中，挥之不去；二是她出演的角色，从《卧虎藏龙》到《英雄》再到《艺伎回忆录》，...

                        ?(展开)",刘放,推荐,91
6,茉莉花开,"片子开头说，将此片献给所有的母亲，依稀记得《玉观音》片头也是这么写的，再说明天就是母亲节了，我也觉得，需要对母爱有所呼唤，可惜现在认真看电影的人太少了。  　　影片描写了三个人，也就是章子怡扮演的茉、莉、花三代人，茉是一个一心想做明星梦的演员，和姜文扮演...

                        ?(展开)",心跳,力荐,54
7,茉莉花开,"省去大部分对电影情节的描述，只留下自身对影片的直接感觉。三十年代的茉。五十年代的莉。八十年代的花。骨子里深沉的埋藏着对生命的坚韧，痛恨与冷眼旁观一切。仿佛是一个空城，所有一切都围绕着三代独身女人的情感波折进行。无关外界。她们都坚守着自己对生命的判断，冷静而...

                        ?(展开)",[已注销],推荐,83
8,茉莉花开,"这篇影评可能有剧透

                        本来是个很沉静的文艺片，生生就被扬起来了。我的情绪始终进不去，我的注意力总是散的。 姜文延续了《一个陌生女人的来信》中的“堕落”，完全没有了他一贯的神采；陆毅却是一贯的乖乖仔的做派；刘烨还是一贯的闷骚样。总之，几个男的，要么黯淡无光要么毫无突破。当然可以解释...

                        ?(展开)",请、微笑,还行,15
9,茉莉花开,"观影手记--- --《茉莉花开》 　　 茉，是在躺椅上很安静的离去的，没有痛苦。对老年人来说，这叫福气，前世修来的福气。可茉的一生坎坎坷坷，象她自言自语的：象我有什么好，我命不好。 　　 茉的身边散落着两样东西，一个是孟老板送的茉莉花香水的空瓶，一个是她鼎盛时做封面...

                        ?(展开)",水竹,还行,48
