,影片名,评论内容,评论人,推荐星数,有用数
0,肖申克的救赎,"距离斯蒂芬·金（Stephen King）和德拉邦特（Frank Darabont）们缔造这部伟大的作品已经有十年了。我知道美好的东西想必大家都能感受，但是很抱歉，我的聒噪仍将一如既往。 在我眼里，肖申克的救赎与信念、自由和友谊有关。 ［1］信 念 瑞德（Red）说，希望是危险的东西，是精...

                        ?(展开)",大头绿豆,力荐,12279
1,肖申克的救赎,"周末看了一部美国影片《肖申克的救赎》（《The Shawshank Redemption》） 讲的是一位因冤案入狱的年轻银行家在牢中如何追寻自由的故事。 不同的人看同样的影片可能都有不同的感受。对于目前无力改变现状的我，看完这部影片后最深的感受就是：才华、毅力两样，是任何人在任何境...

                        ?(展开)",隱居雲上,力荐,7794
2,肖申克的救赎,"这篇影评可能有剧透

                           斯德哥尔摩综合症（Stockholm syndrome），斯德哥尔摩效应，又称斯德哥尔摩症候群或者称为人质情结或人质综合症，是指犯罪的被害者对于犯罪者产生情感，甚至反过来帮助犯罪者的一种情结。这个情感造成被害人对加害人产生好感、依赖心、甚至协助加害人。  　　1973年8月23日...

                        ?(展开)",中原狮子王,力荐,4986
3,肖申克的救赎,"Andy Dufresne，一个永垂电影史册的名字。  1  关于《The Shawshank Redemption》的评论，太多，该说的差不多都已说了千万遍。对于这样一个热门的话题，再想要抒发一些个人的喜爱之情，不免有拾人牙慧之嫌。为了避免这样没新意的事情发生，许多单词我就不再提了，譬如“希望”...

                        ?(展开)",[已注销],力荐,2653
4,肖申克的救赎,"一、缘起  从来没想过给《肖申克的救赎》写一篇影评，也许是生怕暴露自己只是个不谙世事的初级影迷，也许是对这样一部无法复制的影片真的不愿去过多地提起。然而一场出其不意的重感冒让我只能卧床裹被，已没有了力气去消化我那些故作高深、一直收着却懒得去看的电影，不期然地...

                        ?(展开)",aratana,力荐,1466
5,肖申克的救赎,"现在好象比较时兴将人分为体制内和体制外的人,体制外的人通常有某种优越感,似乎自己的人格才是独立的.可实际上,真正愿意做体制外的人还是很少的,而且是很痛苦的.余杰北大硕士毕业后差一点进了他想进的国家图书馆作一个体制内的人,可由于他写了一些比较反体制的文章,最后还是被...

                        ?(展开)",蓑笠翁,力荐,750
6,肖申克的救赎,"时间会证明经典的价值，虽然在某些时刻会被误判和忽视。 用上面这句话来描述电影《肖申克的救赎》丝毫不会让人觉得会有任何夸张和吹捧的意味，因为这部电影在后来多年牢牢占据IMDB和豆瓣电影榜单第一名的位置足以说明一切。但就是这么一部经典的电影，却在其锋芒初露的时候被人...

                        ?(展开)",方枪枪,力荐,3006
7,肖申克的救赎,"* 是否记得片尾有一行字幕""In memory of Allen Greene""？翻译成中文就是""纪念Allen Greene ""。Allen Greene是《肖申克的救赎》编导Frank Darabont的经纪人，在影片完成 的前夕死于AIDS的并发症。 　　 　　* 是否记得刚来到监狱的新囚犯们走下囚车时，嘲笑他们的人群中有一个...

                        ?(展开)",油爆虾,力荐,385
8,肖申克的救赎,"打一颗星并不是因为这部片很差，只是不明白怎么会是豆瓣电影里的头牌。用极端的踩来平衡下极端的捧。  N年前看的片子，当时觉得真不错。具体不错在哪里？或许是因为结局不错，主人公最终成功越狱到达梦想之地，观影者借以给自己希望，以为自己也能达到自由的彼处。  第一次看完...

                        ?(展开)",附离,很差,1218
9,肖申克的救赎,"你知道，束缚越紧，梦也就会在心里勒下越深的痕迹。《肖申克的救赎》是一场关于笼中鸟如何飞往自由的梦，用我一位网友的话来说，看了它，甚至会让人觉得重生。  而在观影过程中，我反复想起的另一部电影，是《海上钢琴师1900》：这两个故事都是由小说改编；这两部电影都有和故...

                        ?(展开)",伊谢尔伦的风,力荐,302
